Taxon	Reference	uniquePerReference	nonStacked	nonDuplicatesonReference	TotalAlignmentsOnReference	ReferenceLength
Actinobacillus_equuli	Actinobacillus_equuli	1	1	1	1	2451991
Actinobacillus_pleuropneumoniae	Actinobacillus_pleuropneumoniae	1	1	1	1	2379826
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	Actinobacillus_pleuropneumoniae_serovar_4_str._M62	1	2	2	2	2335268
African_swine_fever_virus	NA	0	0	0	0	0
Aphthovirus	NA	0	0	0	0	0
Arcanobacterium_haemolyticum	Arcanobacterium_haemolyticum	1	2	2	2	1988850
Aspergillus_fumigatus	NA	0	0	0	0	0
Bartonella_bacilliformis	NA	0	0	0	0	0
Bartonella_henselae	Bartonella_henselae	1	1	1	1	1931585
Bartonella_quintana	Bartonella_quintana	1	1	1	1	1650124
Blastomyces_dermatitidis	NA	0	0	0	0	0
Bordetella_bronchialis	Bordetella_bronchialis	0.817	30	40	41	5878756
Bordetella_bronchiseptica	Bordetella_bronchiseptica	0.706	23	32	43	5081368
Bordetella_genomosp._13	Bordetella_genomosp._13	0.879	40	45	49	5380929
Bordetella_pertussis	Bordetella_pertussis	0.798	8	10	11	4314502
Bordetella_pertussis_137	Bordetella_pertussis	1	1	1	3	4111081
Bordetella_pertussis_18323	Bordetella_pertussis_18323	1	4	4	5	4043846
Bordetella_petrii	Bordetella_petrii	0.847	42	55	72	5287950
Bordetella_trematum	Bordetella_trematum	0.871	21	25	29	4480141
Borrelia_crocidurae	NA	0	0	0	0	0
Borrelia_recurrentis	NA	0	0	0	0	0
Borreliella_afzelii	NA	0	0	0	0	0
Borreliella_burgdorferi	NA	0	0	0	0	0
Borreliella_garinii	Borreliella_garinii	1	1	1	1	905638
Bovine_rhinitis_A_virus	NA	0	0	0	0	0
Brucella_abortus	Brucella_abortus	1	6	6	6	2125180
Brucella_abortus_bv._6_str._870	Brucella_abortus_bv._6_str._870	1	2	2	2	2124096
Brucella_canis	Brucella_canis	1	3	3	3	2105958
Brucella_melitensis	Brucella_melitensis	1	5	5	6	2117000
Brucella_melitensis_bv._2_str._63/9	Brucella_melitensis_bv._2_str._63/9	1	4	4	4	2127512
Brucella_microti	NA	0	0	0	0	0
Brucella_microti_CCM_4915	Brucella_microti_CCM_4915	0.396	6	18	21	2117050
Brucella_ovis	NA	0	0	0	0	0
Brucella_ovis_ATCC_25840	Brucella_ovis_ATCC_25840	0.517	13	32	43	1164220
Brucella_suis	Brucella	1	2	2	3	2181202
Brucella_suis_019	Brucella_suis_019	1	2	2	2	2098391
Brucella_suis_bv._2	Brucella_suis_bv._2	0.649	6	9	10	1926480
Burkholderia_cepacia	Burkholderia_cepacia	0.863	17	20	26	3688624
Burkholderia_cepacia_ATCC_25416	Burkholderia_cepacia_ATCC_25416	1	24	24	28	3781435
Burkholderia_cepacia_JBK9	Burkholderia_cepacia_JBK9	0.87	13	15	16	3790084
Burkholderia_gladioli	Burkholderia_gladioli	0.903	27	31	41	4668573
Burkholderia_gladioli_BSR3	Burkholderia_gladioli_BSR3	1	16	16	22	4413616
Burkholderia_gladioli_pv._gladioli	Burkholderia_gladioli_pv._gladioli	0.907	24	28	38	4668533
Burkholderia_mallei	Burkholderia_mallei	0.54	1	3	4	3501048
Burkholderia_mallei_NCTC_10229	Burkholderia_mallei_NCTC_10229	1	1	1	1	3458208
Burkholderia_mallei_NCTC_10247	Burkholderia_mallei_NCTC_10247	0.667	0	2	2	3495687
Burkholderia_multivorans	Burkholderia_multivorans	0.927	34	38	52	3422468
Burkholderia_multivorans_ATCC_17616	Burkholderia_multivorans_ATCC_17616	0.788	24	33	37	3448421
Burkholderia_multivorans_ATCC_BAA-247	Burkholderia_multivorans_ATCC_BAA-247	0.755	20	29	35	3428264
Burkholderia_pseudomallei	Burkholderia_pseudomallei	0.503	9	20	22	3078985
Burkholderia_pseudomallei_1106b	Burkholderia_pseudomallei_1106b	1	3	3	3	3976928
Burkholderia_pseudomallei_1710a	Burkholderia_pseudomallei	1	1	1	3	4033039
Burkholderia_pseudomallei_1710b	Burkholderia_pseudomallei_1710b	1	1	1	1	4126292
Burkholderia_pseudomallei_7894	Burkholderia_pseudomallei	1	1	1	1	3138445
Burkholderia_pseudomallei_B03	Burkholderia_pseudomallei_B03	1	2	2	2	3256009
Burkholderia_pseudomallei_MSHR1153	Burkholderia_pseudomallei_MSHR1153	1	2	2	2	4032226
Burkholderia_pseudomallei_MSHR2543	Burkholderia_pseudomallei_MSHR2543	0.757	1	3	3	4240604
Burkholderia_pseudomallei_MSHR346	Burkholderia_pseudomallei	1	1	1	1	4099163
Burkholderia_pseudomallei_MSHR435	Burkholderia_pseudomallei_MSHR435	0.543	3	5	8	3837469
Burkholderia_pseudomallei_NCTC_13179	Burkholderia_pseudomallei_NCTC_13179	1	4	4	5	3340068
Burkholderia_pseudomallei_Pasteur_52237	Burkholderia_pseudomallei_Pasteur_52237	1	3	3	3	3184745
Campylobacter_coli	NA	0	0	0	0	0
Campylobacter_coli_RM1875	Campylobacter_coli_RM1875	1	1	1	1	1814252
Campylobacter_fetus	NA	0	0	0	0	0
Campylobacter_gracilis	Campylobacter_gracilis	0.472	3	7	7	2281730
Campylobacter_showae	Campylobacter_showae	1	4	4	5	2097887
Canine_morbillivirus	NA	0	0	0	0	0
Chlamydia_abortus	NA	0	0	0	0	0
Chlamydia_caviae	NA	0	0	0	0	0
Chlamydia_felis	NA	0	0	0	0	0
Chlamydia_muridarum	NA	0	0	0	0	0
Chlamydia_pecorum	NA	0	0	0	0	0
Chlamydia_pneumoniae	NA	0	0	0	0	0
Chlamydia_psittaci	NA	0	0	0	0	0
Chlamydia_suis	Chlamydia_suis	1	1	1	1	1101914
Chlamydia_trachomatis	NA	0	0	0	0	0
Corynebacterium_ammoniagenes	Corynebacterium_ammoniagenes	0.272	1	3	3	2808265
Corynebacterium_amycolatum	Corynebacterium_amycolatum	1	7	7	7	2802624
Corynebacterium_bovis	Corynebacterium_bovis	0.573	42	78	92	2600540
Corynebacterium_crudilactis	Corynebacterium_crudilactis	0.573	2	4	4	3047373
Corynebacterium_diphtheriae	Corynebacterium_diphtheriae	0.39	1	3	3	2504185
Corynebacterium_diphtheriae_HC03	Corynebacterium_diphtheriae_HC03	1	1	1	1	2478364
Corynebacterium_diphtheriae_NCTC_13129	Corynebacterium_diphtheriae	0	0	2	2	2504185
Corynebacterium_jeikeium	Corynebacterium_jeikeium	0.707	6	8	8	2414649
Corynebacterium_jeikeium_K411	Corynebacterium_jeikeium_K411	1	9	9	9	2462499
Corynebacterium_kroppenstedtii	Corynebacterium_kroppenstedtii	1	12	12	14	2511877
Corynebacterium_kroppenstedtii_DSM_44385	Corynebacterium_kroppenstedtii_DSM_44385	0.892	9	11	12	2446804
Corynebacterium_maris	NA	0	0	0	0	0
Corynebacterium_maris_DSM_45190	Corynebacterium_maris_DSM_45190	0.608	18	29	32	2787574
Corynebacterium_matruchotii	Corynebacterium_matruchotii	0.47	8	15	20	2866540
Corynebacterium_minutissimum	Corynebacterium_minutissimum	0.847	7	9	9	2725312
Corynebacterium_pseudotuberculosis	Corynebacterium_pseudotuberculosis	0	0	2	2	2368101
Corynebacterium_pseudotuberculosis_Cp162	Corynebacterium_pseudotuberculosis_Cp162	1	3	3	3	2382103
Corynebacterium_renale	Corynebacterium_renale	1	6	6	8	2335089
Corynebacterium_segmentosum	Corynebacterium_segmentosum	1	9	9	9	2373440
Corynebacterium_sphenisci	NA	0	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	Corynebacterium_sphenisci_DSM_44792	0.606	58	102	119	2594799
Corynebacterium_stationis	Corynebacterium_stationis	1	3	3	5	2853666
Corynebacterium_striatum	Corynebacterium_striatum	1	3	3	4	2665682
Corynebacterium_urealyticum	Corynebacterium_urealyticum	0.739	13	20	24	2377532
Corynebacterium_ureicelerivorans	Corynebacterium_ureicelerivorans	0.753	21	28	37	2279990
Corynebacterium_xerosis	Corynebacterium_xerosis	0.845	45	53	61	2738835
Cowpox_virus	NA	0	0	0	0	0
Coxiella_burnetii	Coxiella_burnetii	0.731	3	5	7	1973771
Coxiella_burnetii_str._Schperling	Coxiella_burnetii_str._Schperling	1	1	1	1	2010932
Cryptosporidium	NA	0	0	0	0	0
Cryptosporidium_parvum	NA	0	0	0	0	0
Deltaretrovirus	NA	0	0	0	0	0
Ehrlichia_canis	NA	0	0	0	0	0
Enterococcus_avium	Enterococcus_avium	0.268	0	2	2	3623727
Enterococcus_casseliflavus	Enterococcus_casseliflavus	1	1	1	1	3495847
Enterococcus_casseliflavus_EC20	Enterococcus_casseliflavus	1	2	2	3	3495847
Enterococcus_cecorum	Enterococcus_cecorum	1	1	1	3	2261297
Enterococcus_durans	Enterococcus_durans	0.113	0	2	2	3014408
Enterococcus_faecalis	NA	0.267	1	3	5	1842084
Enterococcus_faecalis_62	Enterococcus_faecalis	0	0	2	2	2870977
Enterococcus_faecalis_D32	Enterococcus_faecalis	1	1	1	1	3091662
Enterococcus_faecalis_R712	Enterococcus_faecalis	1	1	1	1	2890148
Enterococcus_faecium	Enterococcus_faecium	1	1	1	1	2640999
Enterococcus_hirae	Enterococcus_hirae	1	1	1	1	2725429
Enterococcus_hirae_ATCC_9790	Enterococcus_hirae	1	1	1	1	2886481
Enterococcus_mundtii	Enterococcus_mundtii	1	1	1	1	2768701
Enterovirus_B	NA	0	0	0	0	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	NA	0	0	0	0	0
Equine_rhinitis_A_virus	NA	0	0	0	0	0
Erysipelothrix_rhusiopathiae	Erysipelothrix_rhusiopathiae	1	3	3	3	1945689
Erysipelothrix_rhusiopathiae_str._Fujisawa	Erysipelothrix_rhusiopathiae	1	7	7	7	1770411
Erythroparvovirus	NA	0	0	0	0	0
Escherichia_coli	Escherichia_coli	0.009	0	10	12	89947
Escherichia_coli_042	Escherichia_coli	0	0	2	2	5121071
Escherichia_coli_M8	Escherichia_coli_M8	1	1	1	1	5108794
Escherichia_coli_Nissle_1917	Escherichia_coli	1	2	2	2	4951794
Escherichia_coli_O111	NA	0	0	0	0	0
Escherichia_coli_O139	Escherichia_coli	1	1	1	1	6042336
Escherichia_coli_O157:H7	NA	0	0	0	0	0
Escherichia_coli_O25:H4	Escherichia_coli	1	1	1	1	5449567
Escherichia_coli_O26	NA	0	0	0	0	0
Escherichia_coli_O80:H26	Escherichia_coli	1	1	1	1	5434745
Francisella_tularensis	Francisella_tularensis_subsp._tularensis_MA00-2987	1	1	1	1	1892645
Fusobacterium	Fusobacterium_varium_ATCC_27725	1	1	1	1	3303644
Fusobacterium_mortiferum_ATCC_9817	Fusobacterium	0.235	0	2	2	2072767
Fusobacterium_necrophorum	Fusobacterium_necrophorum_subsp._funduliforme	1	3	3	5	2288480
Fusobacterium_necrophorum_subsp._funduliforme	Fusobacterium_necrophorum_subsp._funduliforme	0	0	2	2	2288480
Fusobacterium_necrophorum_subsp._necrophorum	Fusobacterium_necrophorum	1	1	1	1	2678402
Fusobacterium_nucleatum	Fusobacterium_nucleatum	1	2	2	3	2268272
Fusobacterium_nucleatum_subsp._animalis	Fusobacterium_nucleatum_subsp._animalis_4_8	1	1	1	1	2261267
Fusobacterium_nucleatum_subsp._animalis_7_1	Fusobacterium_nucleatum_subsp._animalis_7_1	1	2	2	2	2507720
Fusobacterium_nucleatum_subsp._polymorphum	Fusobacterium_nucleatum_subsp._polymorphum	1	1	1	1	2600840
