# table produced by calculations.DamageProfiler
# using mapped file Pool-4-046-AZP-283_S47_rmdup.bam
# Sample ID: Pool-4-046-AZP-283_S47_rmdup.bam
pos	3pG>A
1	0.027696793002915453
2	0.036885245901639344
3	0.025210084033613446
4	0.02312925170068027
5	0.019441069258809233
6	0.025510204081632654
7	0.02656042496679947
8	0.014864864864864866
9	0.012578616352201259
10	0.019363762102351315
11	0.010484927916120577
12	0.017333333333333333
13	0.021518987341772152
14	0.015170670037926675
15	0.017391304347826087
