#Coverage (X)	Coverage
1.0	5.433653541465802
2.0	1.207798641106507
3.0	0.9076988337736367
4.0	0.780157827758643
5.0	0.6998374953612512
6.0	0.6285546124600501
7.0	0.5719011009308019
8.0	0.5221386446423963
9.0	0.47536984349960676
10.0	0.438994109277445
11.0	0.40165814604630157
12.0	0.3652824118241398
13.0	0.3354588284867077
14.0	0.30902428871034715
15.0	0.2873908939788379
16.0	0.26270736004236994
17.0	0.24531026976220005
18.0	0.2272353707698187
19.0	0.2118717066262974
20.0	0.1958867178299073
21.0	0.17922392032130574
22.0	0.1651029054835078
23.0	0.15081243846765346
24.0	0.13804704105427845
25.0	0.1257900001750727
26.0	0.11404131583002197
27.0	0.10686784029242347
28.0	0.09833874733038783
29.0	0.08952723407159624
30.0	0.08246672665269728
31.0	0.0764229323021226
32.0	0.07037913795154793
33.0	0.06569096102539618
34.0	0.060720363802488464
35.0	0.056484059351149085
36.0	0.052021818662410624
37.0	0.04851980698263958
38.0	0.04456592282805616
39.0	0.03931290530839249
40.0	0.03242185006754994
41.0	0.027055864429186727
42.0	0.02106855413795472
43.0	0.018470287407794217
44.0	0.015250696024779131
45.0	0.01197462058240717
46.0	0.009658774149002625
47.0	0.007512379893654497
48.0	0.0062132465285742455
49.0	0.005817858113118746
50.0	0.0053095015789637046
51.0	0.004462240688695829
