#Coverage (X)	Coverage
1.0	94.09295355711188
2.0	85.79708327614323
3.0	70.80604447215929
4.0	51.878179699516096
5.0	33.47437402953325
6.0	19.14069670827847
7.0	9.848730040651574
8.0	4.64462771638901
9.0	2.0248405596214525
10.0	0.834834397210571
11.0	0.363248985687477
12.0	0.17199396072435036
13.0	0.08851052100328616
14.0	0.05309501579009179
15.0	0.03123568482118344
16.0	0.020447229485100138
17.0	0.01542014820284976
18.0	0.01146626404826634
19.0	0.008529092962007212
20.0	0.006778087122114584
21.0	0.004744660985465998
22.0	0.002146394255305495
23.0	0.0013556174243944952
24.0	6.213246528261607E-4
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
