# table produced by calculations.DamageProfiler
# using mapped file Pool-3-041-AZP-226_S45_rmdup.bam
# Sample ID: Pool-3-041-AZP-226_S45_rmdup.bam
pos	3pG>A
1	0.020894970414201183
2	0.013630041724617525
3	0.01114335461404527
4	0.01120099564405725
5	0.012729003093028789
6	0.009445631395479591
7	0.013268411442483263
8	0.012001454721784459
9	0.011233430689732645
10	0.013006134969325154
11	0.010536285071623061
12	0.008432651225545311
13	0.012840702604482132
14	0.011198868324885064
15	0.009513150531617236
