#Coverage (X)	Coverage
1.0	9.828960619878657
2.0	1.0222485061378421
3.0	0.437130135318867
4.0	0.3341596951216417
5.0	0.2644018818229199
6.0	0.21582559078089503
7.0	0.1795063406180759
8.0	0.15273289648561672
9.0	0.12991333650774095
10.0	0.11166898533730318
11.0	0.09252088921725488
12.0	0.07732667725178999
13.0	0.06490018419452781
14.0	0.05524141004546834
15.0	0.04349272570041762
16.0	0.03372098343265861
17.0	0.02468353393646794
18.0	0.01739709028016989
19.0	0.01186165246375026
20.0	0.007060507418898965
21.0	0.00474466098549442
22.0	9.03744949610541E-4
23.0	6.213246528545824E-4
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
