# table produced by calculations.DamageProfiler
# using mapped file Pool-3-038-AZP-223_S42_rmdup.bam
# Sample ID: Pool-3-038-AZP-223_S42_rmdup.bam
pos	3pG>A
1	0.03543913713405239
2	0.014074074074074074
3	0.018480492813141684
4	0.019330855018587362
5	0.023672883787661407
6	0.018341892883345562
7	0.015525758645024701
8	0.019014084507042252
9	0.01734906315058987
10	0.012592592592592593
11	0.014524328249818447
12	0.020027624309392266
13	0.019202363367799114
14	0.014124293785310734
15	0.016188373804267846
