#Coverage (X)	Coverage
1.0	8.546151147953779
2.0	1.550205008893414
3.0	0.9171881557446255
4.0	0.7653590042086194
5.0	0.686281321116951
6.0	0.6370272213627146
7.0	0.5920659101191603
8.0	0.5594746078735255
9.0	0.5299899288922063
10.0	0.5063231080240627
11.0	0.4846332292332107
12.0	0.4654851331131624
13.0	0.4419312803637183
14.0	0.41973304503869713
15.0	0.40007659238447957
16.0	0.3814368527985863
17.0	0.36494350746804116
18.0	0.3469250925350167
19.0	0.3305447153231711
20.0	0.31241333227143286
21.0	0.2947903057538639
22.0	0.2789747691355302
23.0	0.26073041796509244
24.0	0.2458186262963835
25.0	0.23412642601068967
26.0	0.22254719384369537
27.0	0.2102901529644896
28.0	0.20057489475608747
29.0	0.1925541583282211
30.0	0.18622794368089046
31.0	0.1799582130929025
32.0	0.17470519557323883
33.0	0.16804007656979536
34.0	0.16267409093143215
35.0	0.15826833430203635
36.0	0.15222453995146168
37.0	0.14674558619439892
38.0	0.14104069619992288
39.0	0.13409315689972345
40.0	0.12872717126136024
41.0	0.12319173344494061
42.0	0.11833410434073244
43.0	0.1134199911771816
44.0	0.10737619682660693
45.0	0.10268801990045517
46.0	0.09771742267754746
47.0	0.0930292457513957
48.0	0.08839755288460083
49.0	0.08393531219586237
50.0	0.07981197586322253
51.0	0.07653590042085057
